"","PrecinctID","Yes","No","Ballots","Turnout","prop","PYes","PNo","Perc","Win"
"1",1101,81,120,210,42.68,"E",0.402985074626866,0.597014925373134,0.597014925373134,"No"
"2",1102,272,520,817,46.74,"E",0.343434343434343,0.656565656565657,0.656565656565657,"No"
"3",1104,158,199,376,43.57,"E",0.442577030812325,0.557422969187675,0.557422969187675,"No"
"4",1106,218,336,571,40.41,"E",0.393501805054152,0.606498194945848,0.606498194945848,"No"
"5",1109,251,418,699,42.97,"E",0.375186846038864,0.624813153961136,0.624813153961136,"No"
"6",1111,156,162,328,37.88,"E",0.490566037735849,0.509433962264151,0.509433962264151,"No"
"7",1112,98,144,258,38.62,"E",0.40495867768595,0.59504132231405,0.59504132231405,"No"
"8",1114,286,272,586,39.38,"E",0.512544802867383,0.487455197132616,0.512544802867383,"Yes"
"9",1115,228,282,558,35.05,"E",0.447058823529412,0.552941176470588,0.552941176470588,"No"
"10",1117,139,154,297,38.67,"E",0.474402730375427,0.525597269624573,0.525597269624573,"No"
"11",1118,251,330,606,37.24,"E",0.432013769363167,0.567986230636833,0.567986230636833,"No"
"12",1119,122,137,266,38.49,"E",0.471042471042471,0.528957528957529,0.528957528957529,"No"
"13",1122,86,134,230,39.25,"E",0.390909090909091,0.609090909090909,0.609090909090909,"No"
"14",1123,250,258,534,31.01,"E",0.492125984251969,0.507874015748031,0.507874015748031,"No"
"15",1126,230,326,586,40.52,"E",0.413669064748201,0.586330935251799,0.586330935251799,"No"
"16",1128,264,315,623,40.04,"E",0.455958549222798,0.544041450777202,0.544041450777202,"No"
"17",1129,231,311,583,37.79,"E",0.42619926199262,0.57380073800738,0.57380073800738,"No"
"18",1132,162,188,379,44.27,"E",0.462857142857143,0.537142857142857,0.537142857142857,"No"
"19",1134,116,162,298,43,"E",0.41726618705036,0.58273381294964,0.58273381294964,"No"
"20",1135,155,354,529,42.22,"E",0.304518664047151,0.695481335952849,0.695481335952849,"No"
"21",1136,106,180,299,40.57,"E",0.370629370629371,0.629370629370629,0.629370629370629,"No"
"22",1141,280,389,701,41.31,"E",0.418535127055306,0.581464872944694,0.581464872944694,"No"
"23",1144,287,423,741,43.01,"E",0.404225352112676,0.595774647887324,0.595774647887324,"No"
"24",1146,304,400,744,44.26,"E",0.431818181818182,0.568181818181818,0.568181818181818,"No"
"25",1148,141,176,337,40.75,"E",0.444794952681388,0.555205047318612,0.555205047318612,"No"
"26",1149,274,446,765,46.14,"E",0.380555555555556,0.619444444444444,0.619444444444444,"No"
"27",1153,261,418,696,43.42,"E",0.384388807069219,0.615611192930781,0.615611192930781,"No"
"28",7001,92,181,284,45.23,"E",0.336996336996337,0.663003663003663,0.663003663003663,"No"
"29",7002,142,222,373,43.37,"E",0.39010989010989,0.60989010989011,0.60989010989011,"No"
"30",7003,213,568,811,51.13,"E",0.272727272727273,0.727272727272727,0.727272727272727,"No"
"31",7005,107,290,412,53.86,"E",0.269521410579345,0.730478589420655,0.730478589420655,"No"
"32",7006,104,313,437,50.35,"E",0.249400479616307,0.750599520383693,0.750599520383693,"No"
"33",7007,247,644,929,55.79,"E",0.277216610549944,0.722783389450056,0.722783389450056,"No"
"34",7011,208,457,672,37.03,"E",0.312781954887218,0.687218045112782,0.687218045112782,"No"
"35",7012,161,287,458,51.63,"E",0.359375,0.640625,0.640625,"No"
"36",7013,202,466,677,42.74,"E",0.302395209580838,0.697604790419162,0.697604790419162,"No"
"37",7015,9,21,32,41.03,"E",0.3,0.7,0.7,"No"
"38",7016,273,305,607,35.39,"E",0.472318339100346,0.527681660899654,0.527681660899654,"No"
"39",7018,330,311,680,39.26,"E",0.514820592823713,0.485179407176287,0.514820592823713,"Yes"
"40",7021,233,296,551,32.84,"E",0.440453686200378,0.559546313799622,0.559546313799622,"No"
"41",7022,138,159,309,33.52,"E",0.464646464646465,0.535353535353535,0.535353535353535,"No"
"42",7023,158,265,436,28.31,"E",0.373522458628842,0.626477541371158,0.626477541371158,"No"
"43",7024,19,20,39,13.98,"E",0.487179487179487,0.512820512820513,0.512820512820513,"No"
"44",7025,43,45,92,20.86,"E",0.488636363636364,0.511363636363636,0.511363636363636,"No"
"45",7028,170,257,435,28.12,"E",0.398126463700234,0.601873536299766,0.601873536299766,"No"
"46",7029,67,97,173,20.66,"E",0.408536585365854,0.591463414634146,0.591463414634146,"No"
"47",7030,213,185,427,39.72,"E",0.535175879396985,0.464824120603015,0.535175879396985,"Yes"
"48",7032,116,142,274,32.09,"E",0.449612403100775,0.550387596899225,0.550387596899225,"No"
"49",7034,67,97,166,19.73,"E",0.408536585365854,0.591463414634146,0.591463414634146,"No"
"50",7035,39,70,110,33.64,"E",0.357798165137615,0.642201834862385,0.642201834862385,"No"
"51",7037,34,59,102,13.62,"E",0.365591397849462,0.634408602150538,0.634408602150538,"No"
"52",7038,128,121,268,31.67,"E",0.514056224899598,0.485943775100402,0.514056224899598,"Yes"
"53",7039,112,148,277,37.95,"E",0.430769230769231,0.569230769230769,0.569230769230769,"No"
"54",7041,4,15,19,35.85,"E",0.210526315789474,0.789473684210526,0.789473684210526,"No"
"55",7043,112,141,261,30.82,"E",0.442687747035573,0.557312252964427,0.557312252964427,"No"
"56",7045,145,113,277,39.12,"E",0.562015503875969,0.437984496124031,0.562015503875969,"Yes"
"57",7046,143,207,365,36.07,"E",0.408571428571429,0.591428571428571,0.591428571428571,"No"
"58",7047,164,148,330,43.53,"E",0.525641025641026,0.474358974358974,0.525641025641026,"Yes"
