"","PrecinctID","Yes","No","Ballots","Turnout","prop","PYes","PNo","Perc","Win"
"70",7208,351,131,533,52.41,"H",0.728215767634855,0.271784232365145,0.728215767634855,"Yes"
"71",7301,611,170,885,50.11,"H",0.782330345710627,0.217669654289373,0.782330345710627,"Yes"
"72",7302,323,82,455,61.73,"H",0.797530864197531,0.202469135802469,0.797530864197531,"Yes"
"73",7303,645,154,915,52.68,"H",0.807259073842303,0.192740926157697,0.807259073842303,"Yes"
"74",7305,579,155,841,58,"H",0.788828337874659,0.211171662125341,0.788828337874659,"Yes"
"75",7308,218,84,349,63.91,"H",0.721854304635762,0.278145695364238,0.721854304635762,"Yes"
"76",7309,233,68,329,45.37,"H",0.774086378737541,0.225913621262458,0.774086378737541,"Yes"
"77",7312,317,103,462,56.96,"H",0.754761904761905,0.245238095238095,0.754761904761905,"Yes"
"78",7313,530,125,787,52.12,"H",0.809160305343511,0.190839694656489,0.809160305343511,"Yes"
"79",7315,501,107,732,52.51,"H",0.824013157894737,0.175986842105263,0.824013157894737,"Yes"
"80",7317,328,78,468,55.84,"H",0.807881773399015,0.192118226600985,0.807881773399015,"Yes"
"81",7318,540,117,751,50.54,"H",0.821917808219178,0.178082191780822,0.821917808219178,"Yes"
"82",7319,498,106,696,45.14,"H",0.824503311258278,0.175496688741722,0.824503311258278,"Yes"
"83",7321,189,44,296,49.42,"H",0.811158798283262,0.188841201716738,0.811158798283262,"Yes"
"84",7322,251,56,446,54.66,"H",0.817589576547231,0.182410423452769,0.817589576547231,"Yes"
"85",7323,264,57,370,51.68,"H",0.822429906542056,0.177570093457944,0.822429906542056,"Yes"
"86",7325,262,78,382,47.57,"H",0.770588235294118,0.229411764705882,0.770588235294118,"Yes"
"87",7326,281,50,387,51.13,"H",0.848942598187311,0.151057401812689,0.848942598187311,"Yes"
"88",7329,466,98,771,54.99,"H",0.826241134751773,0.173758865248227,0.826241134751773,"Yes"
"89",7331,325,76,448,57.22,"H",0.810473815461347,0.189526184538653,0.810473815461347,"Yes"
"90",7332,550,96,733,48.96,"H",0.851393188854489,0.148606811145511,0.851393188854489,"Yes"
"91",7333,296,64,407,47.83,"H",0.822222222222222,0.177777777777778,0.822222222222222,"Yes"
"92",7336,628,159,848,49.05,"H",0.797966963151207,0.202033036848793,0.797966963151207,"Yes"
"93",7337,278,78,412,52.62,"H",0.780898876404494,0.219101123595506,0.780898876404494,"Yes"
"94",7338,556,104,855,56.59,"H",0.842424242424242,0.157575757575758,0.842424242424242,"Yes"
"95",7339,460,86,611,44.44,"H",0.842490842490842,0.157509157509158,0.842490842490842,"Yes"
