"","PrecinctID","Yes","No","Ballots","Turnout","prop","PYes","PNo","Perc","Win"
"1",1101,133,63,210,42.68,"K",0.678571428571429,0.321428571428571,0.678571428571429,"Yes"
"2",1102,537,245,817,46.74,"K",0.686700767263427,0.313299232736573,0.686700767263427,"Yes"
"3",1104,265,94,376,43.57,"K",0.738161559888579,0.261838440111421,0.738161559888579,"Yes"
"4",1106,365,190,571,40.41,"K",0.657657657657658,0.342342342342342,0.657657657657658,"Yes"
"5",1109,491,176,699,42.97,"K",0.736131934032983,0.263868065967017,0.736131934032983,"Yes"
"6",1111,218,96,328,37.88,"K",0.694267515923567,0.305732484076433,0.694267515923567,"Yes"
"7",1112,180,69,258,38.62,"K",0.72289156626506,0.27710843373494,0.72289156626506,"Yes"
"8",1114,380,184,586,39.38,"K",0.673758865248227,0.326241134751773,0.673758865248227,"Yes"
"9",1115,359,154,558,35.05,"K",0.699805068226121,0.300194931773879,0.699805068226121,"Yes"
"10",1117,195,85,297,38.67,"K",0.696428571428571,0.303571428571429,0.696428571428571,"Yes"
"11",1118,415,163,606,37.24,"K",0.717993079584775,0.282006920415225,0.717993079584775,"Yes"
"12",1119,187,67,266,38.49,"K",0.736220472440945,0.263779527559055,0.736220472440945,"Yes"
"13",1122,151,70,230,39.25,"K",0.683257918552036,0.316742081447964,0.683257918552036,"Yes"
"14",1123,354,145,534,31.01,"K",0.709418837675351,0.290581162324649,0.709418837675351,"Yes"
"15",1126,380,174,586,40.52,"K",0.685920577617328,0.314079422382672,0.685920577617328,"Yes"
"16",1128,359,222,623,40.04,"K",0.61790017211704,0.38209982788296,0.61790017211704,"Yes"
"17",1129,384,169,583,37.79,"K",0.694394213381555,0.305605786618445,0.694394213381555,"Yes"
"18",1132,240,114,379,44.27,"K",0.677966101694915,0.322033898305085,0.677966101694915,"Yes"
"19",1134,179,106,298,43,"K",0.628070175438596,0.371929824561403,0.628070175438596,"Yes"
"20",1135,329,178,529,42.22,"K",0.648915187376726,0.351084812623274,0.648915187376726,"Yes"
"21",1136,176,102,299,40.57,"K",0.633093525179856,0.366906474820144,0.633093525179856,"Yes"
"22",1141,477,194,701,41.31,"K",0.710879284649776,0.289120715350224,0.710879284649776,"Yes"
"23",1144,533,175,741,43.01,"K",0.752824858757062,0.247175141242938,0.752824858757062,"Yes"
"24",1146,508,195,744,44.26,"K",0.722617354196302,0.277382645803698,0.722617354196302,"Yes"
"25",1148,189,132,337,40.75,"K",0.588785046728972,0.411214953271028,0.588785046728972,"Yes"
"26",1149,510,201,765,46.14,"K",0.717299578059072,0.282700421940928,0.717299578059072,"Yes"
"27",1153,447,228,696,43.42,"K",0.662222222222222,0.337777777777778,0.662222222222222,"Yes"
"28",7001,212,56,284,45.23,"K",0.791044776119403,0.208955223880597,0.791044776119403,"Yes"
"29",7002,267,92,373,43.37,"K",0.743732590529248,0.256267409470752,0.743732590529248,"Yes"
"30",7003,616,175,811,51.13,"K",0.778761061946903,0.221238938053097,0.778761061946903,"Yes"
"31",7005,331,71,412,53.86,"K",0.823383084577114,0.176616915422886,0.823383084577114,"Yes"
"32",7006,330,89,437,50.35,"K",0.787589498806683,0.212410501193317,0.787589498806683,"Yes"
"33",7007,677,216,929,55.79,"K",0.758118701007839,0.241881298992161,0.758118701007839,"Yes"
"34",7011,533,125,672,37.03,"K",0.810030395136778,0.189969604863222,0.810030395136778,"Yes"
"35",7012,334,106,458,51.63,"K",0.759090909090909,0.240909090909091,0.759090909090909,"Yes"
"36",7013,531,132,677,42.74,"K",0.800904977375566,0.199095022624434,0.800904977375566,"Yes"
"37",7015,28,2,32,41.03,"K",0.933333333333333,0.0666666666666667,0.933333333333333,"Yes"
"38",7016,442,145,607,35.39,"K",0.752981260647359,0.247018739352641,0.752981260647359,"Yes"
"39",7018,441,203,680,39.26,"K",0.684782608695652,0.315217391304348,0.684782608695652,"Yes"
"40",7021,431,107,551,32.84,"K",0.801115241635688,0.198884758364312,0.801115241635688,"Yes"
"41",7022,238,61,309,33.52,"K",0.795986622073579,0.204013377926421,0.795986622073579,"Yes"
"42",7023,325,100,436,28.31,"K",0.764705882352941,0.235294117647059,0.764705882352941,"Yes"
"43",7024,29,10,39,13.98,"K",0.743589743589744,0.256410256410256,0.743589743589744,"Yes"
"44",7025,71,17,92,20.86,"K",0.806818181818182,0.193181818181818,0.806818181818182,"Yes"
"45",7028,353,68,435,28.12,"K",0.838479809976247,0.161520190023753,0.838479809976247,"Yes"
"46",7029,133,33,173,20.66,"K",0.801204819277108,0.198795180722892,0.801204819277108,"Yes"
"47",7030,279,121,427,39.72,"K",0.6975,0.3025,0.6975,"Yes"
"48",7032,202,59,274,32.09,"K",0.773946360153257,0.226053639846743,0.773946360153257,"Yes"
"49",7034,143,18,166,19.73,"K",0.888198757763975,0.111801242236025,0.888198757763975,"Yes"
