km
tps_moy_tp
tps_moy_tp_6_00
tps_moy_tp_7_20
tps_moy_v
tps_moy_v_6_00
tps_moy_v_7_20
tps_moy_tpv
tps_moy_tpv_6_00
tps_moy_tpv_7_20
