km
tps_moy_tp
tps_moy_tp_6_00
tps_moy_tp_7_20
tps_moy_v
tps_moy_v_6_00
tps_moy_v_7_20
ectyp_tp
ectyp_tp_6_00
ectyp_tp_7_20
ectyp_v
ectyp_v_6_00
ectyp_v_7_20
delta_tpv
delta_tpv_6_00
delta_tpv_7_20
amplitude_tp
amplitude_tp_6_00
amplitude_tp_7_20
amplitude_v
amplitude_v_6_00
amplitude_v_7_20
moy_ectypmob_tp_1h
moy_ectypmob_tp_1h_6_00
moy_ectypmob_tp_1h_7_20
moy_ectypmob_tp_30m
moy_ectypmob_tp_30m_6_00
moy_ectypmob_tp_30m_7_20
moy_ectypmob_tp_15m
moy_ectypmob_tp_15m_6_00
moy_ectypmob_tp_15m_7_20
moy_ectypmob_v_1h
moy_ectypmob_v_1h_6_00
moy_ectypmob_v_1h_7_20
moy_ectypmob_v_30m
moy_ectypmob_v_30m_6_00
moy_ectypmob_v_30m_7_20
moy_ectypmob_v_15m
moy_ectypmob_v_15m_6_00
moy_ectypmob_v_15m_7_20
